id,text,Joy,Fear,Anger,Sadness,Surprise
eng_train_track1_001,None of us has mentioned the incident since.,0,1,0,1,1
eng_train_track1_002,"I was 7 and woke up early, so I went to the basement to watch cartoons.",1,0,0,0,0
eng_train_track1_003,By that point I felt like someone was stabbing my head with a sharp object.,0,1,0,0,0
eng_train_track1_004,watching her leave with dudes drove me crazy.,0,1,1,1,0
eng_train_track1_005,`` My eyes widened.,0,1,0,0,1
eng_train_track1_006,"The Spot on my ear was bot good, but not alarming.",0,0,0,0,0
eng_train_track1_007,I got on the pole and went down till I could reach the seint with my foot and I pulled it under me and I got in.,0,1,0,0,0
eng_train_track1_008,It's choking me and burning my eyes.,0,1,0,1,0
eng_train_track1_009,"It's also on the front of my upper legs, the back of my lower legs, and the tops of my feet.",0,0,0,0,0
eng_train_track1_010,"I wake from my coma, sleep crusting my eyes.",0,1,0,0,0
eng_train_track1_011,I forgot that my mom needs to be eased into things just long enough to run my mouth off and cause an argument that was way too long.,0,0,1,0,0
eng_train_track1_012,Everyone watched me dance on the stage But for some reason they couldn't see past the scars From my arms to my stomach to my legs I didn't realize that everyone knew what I was doing.,0,1,0,1,0
eng_train_track1_013,"One particular experience I had at a place called ""Hernando's Bridge"", however, still scares me to this day.",0,1,0,0,1
eng_train_track1_014,I need to ice my calf often and try to stay off it... except to occasionally stretch it.,0,1,0,0,0
eng_train_track1_015,So... for reasons unknown...,0,1,0,0,1
eng_train_track1_016,"-one roommate never showered, end of the year garbage bags of trash were taken out from her suite.",0,0,1,0,1
eng_train_track1_017,"Everything is incredibly far away, and Earth is so very small.",0,1,0,1,1
eng_train_track1_018,"Suddenly I see it crouching on the floor, its bagged head hung low beneath its shoulders.",0,1,0,0,1
eng_train_track1_019,"After those few seconds, I waved one hand at it in a friendly manner, it then changed light pattern and hovered away behind my house.",1,1,0,0,1
eng_train_track1_020,""" Those little blonde kids!",0,0,0,0,1
eng_train_track1_021,"The brace however squeezes my leg flesh out the top and bottom of the brace, and makes my knee cap look like a brain when I straighten my leg, but whatever.",0,0,0,0,0
eng_train_track1_022,Later when we got home she saw all her presents on the kitchen table.,1,0,0,0,1
eng_train_track1_023,Was I drunk or a kid?,0,1,0,0,1
eng_train_track1_024,I farted and a little nugget fell out onto the floor.,1,0,0,0,1
eng_train_track1_025,"So I left the room, went outside and settled once again for going through my mess in my head.",0,1,0,1,0
eng_train_track1_026,Never found anything... kind of spooky.,0,1,0,0,1
eng_train_track1_027,"i tried to get out of bed and as i did, i immediately fell on the floor, unable to get my legs underneath me.",0,1,0,1,1
eng_train_track1_028,We cuddled on the couch whilst watching TV.,1,0,0,0,0
eng_train_track1_029,"I had my hand on the side of my face when I was drawing, and then I moved it and was like ` OH MY GOD I 'M BLEEDING OUT MY EARS AHHHHH!",0,1,0,0,1
eng_train_track1_030,"I'm very very pale, and any bandages like that stick out like a dark brown blemish.",0,1,0,1,0
eng_train_track1_031,It was drug related.,0,1,0,1,0
eng_train_track1_032,"My left clav essentially blew up, but it didn't stop there.",0,1,0,0,1
eng_train_track1_033,"Back in 2006 when I was in high school I took Earth Sciences, and in the spring I was on my teacher's computer when I came across a photo of me giving the thumbs up.",1,0,0,0,1
eng_train_track1_034,This bracelet just falls to the ground.,0,1,0,0,1
eng_train_track1_035,I threw it onto the ground and cut my hand with it.,0,1,1,0,0
eng_train_track1_036,"It's Friday night, I am home in my jammies, watching something stupid on TV with my legs all covered up like a good girl.",1,0,0,0,0
eng_train_track1_037,Again I was conflicted in my mind because a few days ago he had held my hand and looked at my thumb and I felt nothing---not even one stray tingle.,0,0,0,1,0
eng_train_track1_038,Now I am resting and I have to do my ear drops again.,0,1,0,0,0
eng_train_track1_039,"Wow, did my head start to hurt!",0,1,0,0,0
eng_train_track1_040,"), and I've imagined an entire life for him, his family, and his friends.",1,0,0,0,0
eng_train_track1_041,It wasn't on my shoe anymore.,1,0,0,0,1
eng_train_track1_042,""" I radioed to Infinity.",0,0,0,0,0
eng_train_track1_043,"I got my first raspberry from a crowd surfer falling and my face hitting the monitor, battle wounds.",0,1,0,1,1
eng_train_track1_044,"I pulled it up, still heard the gushing sound, so I turned my head, and the other one stopped immediately.",0,1,0,0,0
eng_train_track1_045,"What came out of my mouth was: ""Because white reigns supreme.",0,1,1,1,1
eng_train_track1_046,"idk why, my eyes just got really watery and i felt really scared and felt so lost all of a sudden: /",0,1,0,1,1
eng_train_track1_047,Others said with confidence that it was a drug deal gone bad.,0,1,0,1,1
